,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
77,BFH,"Bread Financial Holdings, Inc.",,58.57 +2.15 (+3.81%),2.15,+3.81%,246055,633587,2.732B,9.84,+9.83%,38.21 68.01
78,RIOT,"Riot Platforms, Inc.",,22.50 +0.80 (+3.69%),0.8,+3.69%,11.295M,39.737M,8.317B,--,+147.43%,6.19 23.94
79,MGM,MGM Resorts International,,32.78 +1.21 (+3.83%),1.21,+3.83%,2.08M,4.705M,8.922B,17.91,-19.85%,25.30 42.54
80,TLX,Telix Pharmaceuticals Limited,,9.90 +0.36 (+3.77%),0.36,+3.77%,67143,169860,3.314B,495.00,-37.03%,8.93 30.36
81,QBTS,D-Wave Quantum Inc.,,42.15 +1.53 (+3.78%),1.53,+3.78%,32.32M,50.832M,14.418B,--,"+3,970.14%",0.98 42.29
82,OKLO,Oklo Inc.,,177.14 +6.13 (+3.58%),6.13,+3.58%,13.125M,20.143M,26.147B,--,"+1,367.90%",9.54 178.32
83,IBP,"Installed Building Products, Inc.",,249.48 +9.16 (+3.81%),9.16,+3.81%,102628,496631,6.767B,27.75,-4.42%,150.83 280.00
84,STVN,Stevanato Group S.p.A.,,24.17 +0.86 (+3.67%),0.86,+3.67%,60926,392764,6.597B,42.39,+26.27%,17.12 28.00
85,UAL,"United Airlines Holdings, Inc.",,102.83 +3.58 (+3.61%),3.58,+3.61%,2.441M,5.832M,33.291B,10.31,+54.96%,52.00 116.00
86,ULS,UL Solutions Inc.,,75.00 +2.64 (+3.65%),2.64,+3.65%,190957,788114,15.066B,46.30,+34.95%,48.54 75.56
87,ARES,Ares Management Corporation,,148.86 +5.23 (+3.64%),5.23,+3.64%,1.132M,1.606M,48.634B,84.10,-11.68%,110.63 200.49
88,KMPR,Kemper Corporation,,49.84 +1.73 (+3.60%),1.73,+3.60%,531104,923073,3.127B,9.39,-21.52%,45.02 73.01
89,ERO,Ero Copper Corp.,,23.54 +0.83 (+3.65%),0.83,+3.65%,1.152M,813359,2.439B,17.06,+14.70%,9.30 24.02
90,PTRN,Pattern Group Inc.,,14.46 +0.49 (+3.51%),0.49,+3.51%,455062,2.485M,2.859B,--,-10.62%,12.00 16.00
91,ENPH,"Enphase Energy, Inc.",,36.08 +1.26 (+3.61%),1.26,+3.61%,2.341M,8.462M,4.717B,27.97,-62.17%,29.89 99.50
92,RXO,"RXO, Inc.",,16.92 +0.58 (+3.55%),0.58,+3.55%,534733,1.928M,2.775B,--,-43.98%,12.19 31.98
93,PINS,"Pinterest, Inc.",,33.40 +1.13 (+3.49%),1.13,+3.49%,8.765M,10.254M,22.707B,12.10,-4.16%,23.68 40.90
94,APO,"Apollo Global Management, Inc.",,126.58 +4.14 (+3.38%),4.14,+3.38%,1.939M,3.395M,72.407B,23.62,-13.50%,102.58 189.49
95,SARO,"StandardAero, Inc.",,28.50 +0.99 (+3.60%),0.99,+3.60%,892559,1.724M,9.532B,71.25,-14.94%,21.31 33.00
96,BBAI,"BigBear.ai Holdings, Inc.",,9.13 +0.32 (+3.60%),0.32,+3.60%,115.43M,94.534M,3.383B,--,+400.57%,1.51 10.36
97,OPEN,Opendoor Technologies Inc.,,7.53 +0.26 (+3.57%),0.26,+3.57%,62.244M,348.857M,5.588B,--,+284.66%,0.51 10.87
